Categorie;Email
Belasting, Werk en Inkomen;2-april 2015<br />Op het Amstelstation stonden veel zeer fraaie oude bomen.<br />Van de ene dag op de andere dag, eind maart(?) zijn hier circa 30 van deze prachtige bomen gerooid.<br />Wij betalen belasting aan overheid en gemeente en dit is wat wij ervoor terug krijgen, afschuwelijk !<br /><br />We vinden dit een zeer trieste gang van zaken, zeker bezuinigingen ?<br /><br />Wij willen weten waarom dit is gedaan.<br />Wij willen tevens weten hoe wij hierover een voortijdig bericht over kunnen ontvangen zodat wij bezwaar kunnen maken.Wij willen weten waarom dit is gedaan.<br />Wij willen tevens weten hoe wij hierover een voortijdig bericht over kunnen ontvangen zodat wij bezwaar kunnen maken.
Openbare Ruimte;uw kenmerk 160899 <br />Proef inzake Mijn WOZ Stadsdeel Noord<br />De website van deze proef, vermeldt in de brief bestaat niet. Een zoektocht op uw site alsmede een zoek toch op Google levert de mededeling -server not found op. Derhalve kan deze proef niet serieus worden genomen. en kunnen hieraan geen conclusies woden verbonden.<br />Bovendien maak ik bezwaar dat er geld wordt uitgeven aan dit soort onzorgvuldig opgestelde brieven.<br />Bij het in de brief vermeldde telefoonnummer, 020 2554800 kon mij niet doorverwijzen naar de juiste website.Aan dit onderzoek kan de gemeente geen conclusies verbinden omdat de proef niet zorgvuldig is uitgevoerd.<br />Ik zou graag willen weten wat de gemeente doet ter voorkoming van dit soort geld verspillende activiteiten.
Parkeren;Op 9 februari heb ik een brief aan de burgemeester gestuurd. Hierop heb ik geen antwoord gekregen. Op 23 maart heb ik hierover gebeld. De woordvoerder van de burgemeester vertelde dat alle post via het secretariaat van de burgemeester verliep. Ik ben toen doorverbonden met het secretariaat<wbr />/Shirley Lam. Zij vertelde dat de brief waarschijnlijk was doorgegeven aan een van de wethouders. Zij zou gaan uitzoeken aan wie en dat schriftelijk aan mij laten weten. Ik heb mijn naam en adres doorgegeven maar wederom niets gehoord. Uiteraard wil ik graag een antwoord op mijn brief.Ik wil graag een antwoord op mijn brief
Openbare Ruimte;op vrijdag 8 mei 2015 is door werkzaamheden de stroom afgesloten op de Maasstraat 73 in Amsterdam. Hierdoor waren wij genoodzaakt de winkel te sluiten en zijn wij 1 dag omzet mis gelopen.Per e-mail
Openbare Ruimte;Niet ophalen van vuilnis. Het is zo erg, dat er ratten rondlopen. Ook al GGD gewaarschuwd. Ondertussen gooien andere mensen hun vuilnis erbij. Ondertussen ligt er al een zak of 20Het lijkt ons verstandig om een andere route uit te stippelen, waarbij de wagen niet achteruit rijdt, maar gewoon het hele stuk prinsengracht rijdt.<br /><br />Het is verschrikkelijk, dat ik zelfs een buurman een rat heb zien doodslaan met een schep. Het moet toch niet erger worden!!!
Openbare Ruimte;Mijn klacht gaat over het bingobeleid in amsterdam,daar heb ik kontakt over gehad met de heer John Kamp van de inspectie en die zou mij terug gebeld hebben maar heb nog steeds niet gehoord en ook is hij telefonisch niet bereikbaar.Ja
Openbare Ruimte;Bewoners van de Trompenburgstraat 135 II heeft een CV ketel op het balkon geplaatst..handhaven
Openbare Ruimte;Op woensdag 4 maart jl. om half drie, ben ik bij stadsdeel nieuw-west geweest betreft het doorgeven van een verhuizing(wijziging adres). Ik werd samen met mijn partner aan de Groene Balie geholpen. Er werden opmerkingen gemaakt door de ambtenaar die voor mij beledigend overkwamen. Er werd een opmerking gemaakt vanwege mijn verhuizing volgens de ambtenaar zou ik van adres wijzigen vanwege de afronding van mijn studie. 'O, je bent klaar met je studie'. Mijn studie heeft geen enkel verband met mijn verhuizing, hier word ik met fraude geassocieerd. Dit is duidelijk een flauwe opmerking waarvan ik niet gediend ben. Daarnaast moest er een Formulier ingevuld worden met de inwoners van het huis waar ik naartoe zou verhuizen. Het formulier werd zodanig voor mijn partner op de balie neergelegd dat het erop leek dat hij het moest invullen.Ik zou willen dat de gemeente de ambtenaar op dit gedrag aanspreekt, aangezien de burgers hier niet van gediend zijn. Ook geeft de ambtenaar geen goed voorbeeld voor haar functie. Bij dezen wil ik een officieel excuus.
Openbare Ruimte;De DWI betaalde jaren mijn Nuon rekening per december betaal ik het factuur bedrag €64,00 van december zelf, dit bedrag is door mij zelf betaald van mijn uitkering maand november is de laatste inhouding gedaan door DWI factuur bedrag €57,72 factuur november, ik kom er achter wat op uitkering november is ingehouden niet is betaald voor het factuur november, gesprekken gehad per telefoon waar we niet uit komen intussen was het factuur verhoogd door Nuon om problemen te voorkomen duurwaarder  heb ik hem betaald €67,72, ik wil een uitnodiging door een onafankelijk persoon die mij alle bewijzen die ik heb laat <br />overleggen.uitnodiging om mijn bewijzen te overleggen en mijn €67,72 terug te krijgen van DWI ze hebben november voor het laatst mijn Nuon inhouding gedaan maar niet betaald voor factuur van november
Openbare Ruimte;Kermis die bij bij het stadion stond adverteerde met een zgn 1 eurodag op vrijdag. Dat bleek niet te kloppen omdat alle attracties 3 bleken te kosten behalve het mini draaimolentje.Voor de volgende keer. Kan deze misleidende reclame voortaan achterwege blijven.<br />Bv in Amstelveen is een 1 eurodag ook echt een 1 eurodag.
Parkeren;Dit is een opmerking en kan tot een klacht leiden. Meneer Bollgehn is naar de speeltuin geweest van het stadsdeel, waar Sinterklaas feest werd gevierd. Meneer is met kinderen de toegang geweigerd, omdat alleen de kinderen van 4 t<wbr />/m 12 jaar toegang verleend werden. Meneer heeft een dochter van 3 jaar en een zoon van bijna 7. Het betreft een speeltuin in Amsterdam Noord.Graag herziening van toegang verlenen van kinderen onder de 4 jaar en eventueel met begeleiding.
Belasting, Werk en Inkomen;Ik krijg loon van part-time werk. Het DWI vult dit aan tot het minimum loon van een alleenstaande. Echter er is enkele maanden teveel gestort. Dit bedrag loopt op en zal ik terug moeten betalen. Ik heb dit aan mijn inkomstenconsulent voorgelegd in april en ook in mei. Tot nu is er geen contact met mij opgenomen.15-5-2015
Openbare Ruimte;Op 29 januari zijn mijn partner Martin Gieles en ik in ondertrouw gegaan in het Stadsdeelkantoor Noord. Wij gaan op 10 mei trouwen in het Schellingwouderkerkje. Nu weten wij beiden het afgesproken tijdstip niet meer zeker, 14.00 of 15.00 uur. Deze vraag heeft mijn partner gisteren telefonisch gesteld, hij werd een paar keer doorverbonden en toen werd gezegd dat hij teruggebeld zou worden. Vandaag om 14.00 uur was hij nog niet teruggebeld en ben ik gaan bellen. Een paar keer werd de verbinding ergens tijdens doorverbinden verbroken. Een aantal keren heb ik mijn vraag opnieuw moeten stellen. Uiteindelijk na 11<wbr />/2 uur kreeg ik iemand van het Stadsdeel Noord aan de lijn die doodleuk zei dat ik langs moest komen met legitimatie, want deze informatie wil hij mij niet geven.<br />Ik heb meerdere klachten: niet terugebeld worden, tig keer doorverbonden en verbroken, 11<wbr />/2 uur voor je iemand aan de lijn krijgt en vervolgens geen enkele poging tot service. van de ondertrouw krijg je geen bevestiging.In ieder geval zorgen dat de telefonische routing vlotter verloopt, maar ook simpelweg mensen die in ondertrouw zijn gegaan een bevestiging van datum en tijd meegeven.
Openbare Ruimte;Het dak van het busplatform aan de IJ-zijde lekt enorm, op heel veel plaasen. Als het gaat vriezen wordt het niet alleen voor de bussen maar zeker ook voor de passagiers schaatsenrijden.  Ik las dat het al zo was in 2011! Verantwoordelijkheid voor het DIVV.Maken.
Openbare Ruimte;Mijn klacht is dat er een garage wordt gebouwd in onze binnentuin voor maar liefst 40 auto's. Ik ben bang dat er hierdoor overlast gaat ontstaan. Onduidelijk is  hoe e.e.a. zal worden. Worden er bijvoorbeeld afzuiginstallatie's geplaatst etc etc. De binnentuin is voor ons allen een rustplaats en dat willen we graag zo houden.Graag de vergunning intrekken. Of in ieder geval de bewoners van omliggende straten op de hoogte brengen van wat er hier exact gaat komen. Ons hierin betrekken. Het gaat om een binnentuin met tuinen en balkons waar mensen als het goed weer is graag en veel vertoeven!
Basisinformatie;Ik heb een brief van u ontvangen dd 9 mei met de melding dat u de termijnbetalingen van de gecombineerde aanslag niet van mijn rekeningnummer kunt afschrijven. In een telefonisch gesprek met een van uw medewerkers heb ik vernomen dat u van een rekeningnummer die is opgeheven, de termijnen heeft geprobeerd af te schrijven. Ik heb verzocht om mij een acceptgiro op te sturen zodat ik het (jaar)bedrag in een keer kan overmaken. Per telefoon is toegezegd dat ik binnen een aantal werkdagen een acceptgiro zou ontvangen. We zijn nu twee weken verder en ik hebt tot heden niets ontvangen.Nee
Basisinformatie;Zojuist (13:30)  belde ik naar afdeling Gevonden voorwerpen van gemeente Amsterdam om te vragen ofmijn verloren tas gevonden is. Ik ben zeer onvriendelijk behandeld door de medewerker die de telefoon opnam. Een mevrouw waarvan ik de naam niet goed kon verstaan. Terwijl ik de mijn naam doorgaf gaf zij op een zeer vervelende toon aan dat ze mij niet kon verstaan omdat ze luidruchtige kinderen hoorde. Ik begreep haar en ging verderop staan, maar weer kreeg ik te horen dat ik als ik echt geholpen wil worden ik iets aan het lawaai moet doen. Het is niet haar boodschaap waar ik mij aan stoor, maar haar vervelende, klantvriendelijke toon die ze aansloeg. Nadat ze me kenbaar maakte dat mijn tas niet gevonden is, bedankte ik haar en wilde haar feedback teruggeven waarna ze abrupt de verbinding verbrak. Ik ben nog nooit zooonbeschoft behandeld via de telefoon.Hopelijk krijgt deze medewerker alsnog te horen dat ik haar manier van service verlenen uiterst onvriendelijk vind.
Openbare Ruimte;Vanmorgen bij de Dirk v<wbr />/d Broek 2e Nassaustraat zijn fietsen weggehaald. Mevrouw geeft aan dat zij net op tijd kwam aanlopen, en dat zij haar fiets wilde weghalen die gister geen sticker had, maar wel 2 lekke banden. Volgens mevrouw hebben <br />Mevrouw geeft aan dat dit niet het beleid is. Eerst een sticker en dan wordt het weggehaald. Ze hebben zich niet aan het beleid gehouden. Zij moest haar fiets nog plakken, maar dit is geen fietswrak. Zij heeft haar fiets toch kunnen behouden.Deze mensen aanspreken die op de kar gereden hebben. Dit moet aangesproken worden. Ze doen hun werk niet goed. Eerst een sticker, en dan na 3 wkn weghalen. Dit beleid staat op de website, en anders moeten ze het aanpassen.
Openbare Ruimte;onze kliko is kapot  heeft oa geen deksel meer  wij hebben telefonisch via het juiste nummer een nieuwe besteld  dit is drie weken geleden .wij hebben geen nieuwe gekregen .dieren in de buurt vossen kraaien eksters katten en honden maken de inhoud stuk waardoor huisvuil zich over een straathoek verspreidwij ontvangen graag zo snel mogelijk een nieuwe kliko
Openbare Ruimte;Zoon van mde elder, dhr. A.L. Nieuwendam, heeft op 29 april in stadsdeel Oost, omstreeks 10.00 uur, zijn dochter erkend. De rechtbank had toegewezen dat hij dit, in het bijzijn van zijn ex-partner, mocht erkennen. Echter was er een aantekening dat het adres van meneer, in verband met de huidige relatie tussen hem en zijn voormalig partner, geheim moest blijven. Dit stond aangetekend in het systeem. De persoon heeft dit echter in het bijzijn van haar hardop genoemd.Nee
Basisinformatie;Mijn klacht gaat over de regeling en organisatie van het pontvervoer op 31 december 2014. Van alle ponten, voer er die nacht (rond half 2) maar eentje. Dat terwijl er honderden mensen stonden bij de ponten. Mijn vrienden en ik hebben er 2 uur over gedaan om met z'n allen naar noord te komen. De vriezende kou was nog niet het ergste. De enige pont die voer kwam namelijk niet telkens aan bij dezelfde aanvoerplek, maar legde elke keer op een een andere plek aan, wat er voor zorgde dat al deze honderden mensen zich gingen verplaatsen om toch als eerst op de pont te kunnen. In de twee uur dat we daar gestaan hebben nam het aantal mensen zo erg toe dat overal waar je keek mensen waren. Wij hadden zoals meerderen fietsen. Bij aankomst van de pont ging iedereen zo hard duwen dat ik (en vast meerderen) heel erg pijnlijk klem kwam te zitten tussen meerderen fietsen en mensen, die hoe hard ik ook schreeuwde maar door bleven duwen. Er zijn zelfs dronken mensen aan de zijkant op de pont geklommen.Ik wil dat de gemeente in het vervolg er voor zorgt dat er genoeg ponten varen. Natuurlijk is dit lastig op oud en nieuw maar het is beter om hier in te investeren om ongelukken te voorkomen. Ook zouden er hekken kunnen staan die de mensen in bedwang houden of politie die de mensen in bedwang houdt. Hoe dit er aan toe ging was onacceptabel en onverantwoordelijk, al helemaal op oud en nieuw waar iedereen onder invloed is en zoals gebeurde, gewelddadig kan worden of domme dingen doen zoals op de pont klimmen.
Openbare Ruimte;Op 07<wbr />/04 geparkeerd om 9.00 bij automaat 18216 en betaald bij de parkeerautomaat, tw 8,40 euro. Bij het ophalen van de auto attendeerde iemand ons erop, dat het parkeren op deze dag gratis was.<br />Nee
Basisinformatie;Zie bijlageVergoeding van gemaakte kosten
