Categorie;Email
Openbare Ruimte;Mevrouw geeft aan dat zij onheus is Strijk. Zij kreeg een kaartje van de afdeling dat zij contact moest opnemen i.v.m. een constatering van een overtredeing die mogelijk door haar of onder haar verantwoordelijkheid zou zijn gepleegd. Daarop heeft zij gebeld en gesproken met diegene die zij moest bellen. Hij heeft aangegeven waar het omgaat en dat zij in de fout is gegaan en op een toon die onvriendelijk over is gekomen bij mevrouw. Mevrouw voelde zich met name onder druk gezet om een verklaring af te leggen.Dat deze collega een gedragscursus krijgt.
Belasting, Werk en Inkomen;Dhr. voelt zich geintimideerd door 2 handhavers. Dhr. was een paspoort a<wbr />/h aanvragen bij Stadsdeel Oost. Toen meneer klaar was stapte hij op de fiets en nog niet eens 10 meter werd hij aangehouden deze 2 handhavers omdat ze vonden dat hij verkeerd zou fietsen. Echter is dit een plein vanuit het stadsdeelkantoor. Zijn verders geen duidelijke verkeersborden hierover. Dhr. kreeg verders geen informatie v<wbr />/d handhavers om er verder over in te gaan.Dat er dan duidelijk wordt aangegeven wie men zou zijn. Wat ze doen in ieder geval dat er een bewijs wordt uitgegeven waar, wat of wat men verkeerd dan doet.<br />Duidelijkheid van functie.<br />Niet dat men zich moet legitimeren en dat zo dan wordt gezegd dat de acceptgiro maar thuis wordt gestuurd. <br />Rare gang van werken.
Openbare Ruimte;bankrekening wijziging is niet verwerktbankrekening aanpassen
Belasting, Werk en Inkomen;Goeden dag, ik will in Wenen in Oostenrijk trouwen en heb daarvoor een paar Dokumente nodig. die kan ik op de Ambassade in Wenen niet krijgen en volgens een telefoontje alleen per Postweg aanvragen. dir heeft ten eerste tot gevolg dat er veel tijd voor het brieven schrijven, op de post doen Enz en ik eventueel mijn geboekte termijn op de burgeerlijke stand in wenen niet kann vasthouden. in tijden als deze voor mij absoluut niet toepasselijk of klantenvriendelijk. met vriendelijke groeten Harry valckx
Basisinformatie;Ik heb per mail gevraagd hoe ik de horeca bestemming kan halen uit de bestemmingsplannen voor Willemsparkweg 35. In andere woorden, ik diende bezwaar in tegen deze ontwikkeling. Tot nu toe heb ik geen antwoord gekregen.Per e-mail
Belasting, Werk en Inkomen;Mevrouw heeft op 13 januari een mora melding gemaakt. Mora nummer mora-0306029. Daarop heeft zij heeft zij bericht gehad dat het er in week 4 en 6 actie zou worden ondernomen. Is niet gebeurt.Dat de melding zo snel mogelijk wordt opgepakt.
Parkeren;Ik woon in een flat aan de IJdoornlaan, en onder deze flat is sinds kort een viswinkel geopend, viswinkel Martil. Deze viswinkel heeft zijn afzuiginstallatie op de algemene zuiveringsinstallatie van de flat aangesloten, waardoor de hele flat stinkt naar vis. Afgelopen zondag moest ik zelfs mijn adem inhouden om van de lift naar mijn voordeur te lopen, de stank was niet te houden. <br /><br />Er is al contact geweest met de uitbater<wbr />/verkoper van deze viswinkel, maar hij geeft geen gehoor aan ons verzoek om te stoppen met het bakken<wbr />/frituren van de vis. <br /><br />Ik verzoek u om zo snel mogelijk contact op te nemen met de uitbater van viswinkel Martil om zo het bakken<wbr />/frituren te stoppen, want het verminderd ons plezier om te wonen in de flat.Nee
Parkeren;door de vele werkzaamheden en uitgegeven bouwvergunningen  tijdelijke objectvergunningen wegsleepregelingen etc is moeizaam om in het gebied rond de Pijp te parkeren. alles afgeslotenVeel te weinig parkeerplaatsen hierdoor veel overlast.<br />Door een richtingsverkeer is het gebied nauwelijks bereikbaar. Er wordt geen rekening gehouden met toegankelijkheidNee
Openbare Ruimte;1. Op de website staat dat een geboorteaangifte via een inloopafspraak gedaan kan worden, echter kon dat niet en moest ik dus na de inloopafspraak nogmaals langskomen, uren later, iets wat niet handig is met een vrouw thuis herstellende van de bevalling. Vroeger kon dit gewoon en was alles meteen te regelen. <br />2. Evenals bij de inloopafspraak moest ik bij mijn tweede afspraak moest ik aangeven via ticketuutgifte systeem of ik voor de inloop kwam of op afspraak. bij het kiezen van de laatste optie komt er een ticket uitrollen waarop staat dat ik me bij de afsprakenbalie moet melden, geen nummer oid. Daar heb ik vervolgens wel een juiste ticket gekregen, maar het is ontzettend onzinnig om de eerste ticket te krijgen, een bordje met een pijltje was genoeg geweest, is nu zonde van het papier. <br /><br />1. Zorgen dat je gewoon bij de inloopavond je geboorteaangifte kan doen.<br />2. Bij afspraken gewoon doorsturen naar de afsprakenbalie ipv eerst een onzinnig ticket uit te geven.
Belasting, Werk en Inkomen;twee zaken:<br />de kleine klacht is dat er niet gereageerd werd nadat de intercomknop was ingedrukt bij de uitrijpoort van P+R Sloterdijk (ook niet na heel lang wachten).<br />Tweede klacht:<br />Toen ik wilde uitchecken bij de P+R en ik de GVB vervoersbewijzen voor het apparaat hield, kreeg ik de melding dat we buiten de zone waren geweest en daarom het normale tarief moesten betalen. Ik weet 100% zeker dat ik nergens iets over zones heb gelezen en dat we binnen 3 kwartier de heenreis hebben gedaan, en dezelfde terugreis ook binnen 3 kwartier: Van Sloterdijk naar de Oranje Buitenstraat met de bussen 48 en 22 (overstap Oostzaanstraat). We hebben ook overal goed ingecheckt en uitgecheckt met de bus.<br />De automaat werkte dus niet zoals in de folder van P+R staat beschreven. Een zeer onaangename verrassing als je uit wilt rijden.Contact met mij opneemt hoe dit te verhelpen, mij excues aanbiedt hiervoor, en de procedure aanpassen aan zoals het in de folder van bereikbaar.amsterdam staat.
Openbare Ruimte;Verkeerde info op site amsterdam en verkeerde info per telefoongecompenseerd worden
